solvent-based,,,no steam,,,steam,,
on-off ratio,threshold voltage,subthreshold slope,on-off ratio,threshold voltage,subthreshold slope,on-off ratio,threshold voltage,subthreshold slope
0.990412548,0.331861565,-0.49015985,4.649679134,0.159601529,-11.45828739,3.607073478,0.3762267,-8.560391281
3.022299954,0.243378649,-6.986974799,2.725764833,0.1766263,-5.647487735,3.188853254,0.385808264,-8.351424455
2.230581396,0.335392262,-4.768668759,4.021556999,0.201379047,-11.11462342,3.168438994,0.371445301,-7.623414258
3.69895015,0.161078992,-9.001886857,0.799573741,0.165152163,-0.285294343,3.161418214,0.38519338,-6.982272473
3.146227664,0.22744301,-7.955086082,3.293207867,0.146035911,-8.3673079,3.252075572,0.380262741,-7.866226227
2.858940593,0.265479239,-6.455127914,2.313796479,0.224471213,-4.708510298,3.177973263,0.381576115,-7.307947898
2.742040998,0.275790569,-6.048766432,4.081090457,0.067414027,-7.390319363,3.261304058,0.378651648,-7.090560658
2.482887078,0.307795695,-5.071730748,4.458575287,0.115861172,-11.08311178,3.052794867,0.389338764,-6.88320519
1.675053423,0.325789615,-2.227706238,4.964404877,0.161913681,-10.98557112,3.527161854,0.366494502,-7.628036732
2.6688909,0.298341497,-6.362627342,4.783989526,0.264655288,-12.26453004,2.997723669,0.357718463,-6.277236192
2.707844954,0.297312226,-6.444767978,4.614360245,0.25059447,-11.6822803,3.259072962,0.370511712,-8.795585882
3.1275447,0.253723767,-7.916903563,4.402650105,0.245774758,-11.90745488,3.121152123,0.382955648,-7.325951337
3.141948945,0.25413182,-8.226178262,4.115200716,0.261152335,-9.895924214,3.190506153,0.380860122,-8.641516034
2.560423154,0.305151191,-5.819428001,4.762226243,0.258350047,-12.0391351,3.028940137,0.372500924,-6.5689148
3.162795349,0.247080402,-8.583245682,1.425626398,0.281719277,-1.365758801,3.484486139,0.316684086,-8.61722201
2.897226678,0.269861275,-7.13840385,4.246677183,0.278839012,-11.49050795,2.478013162,0.338363898,-4.689037178
3.069387999,0.250369289,-7.785297497,4.228661098,0.280433289,-11.45807047,2.067160154,0.375705063,-3.334429319
2.725774018,0.276824449,-7.165033476,3.826034403,0.326591327,-10.8008624,2.584949759,0.339210227,-4.439576326
2.296642621,0.307146191,-4.885432143,4.134969366,0.318919068,-10.33806473,2.693658321,0.330758213,-5.028726298
3.017913625,0.256573207,-7.614902318,3.647439531,0.285490593,-10.54857776,3.00127521,0.337835721,-6.753030841
2.776888929,0.260628194,-6.520842486,4.148915348,0.287485162,-10.77654015,2.863347183,0.353932609,-6.40342413
