solvent,material,conc,incubation,time,rinse,ref
DMF,CNT,5,Immersed,1,PBS,"Maehashi \textit{et al.}, 2007. \cite{Maehashi2007}"
,,6,Immersed,1,"DMF, PBS","García-Aljaro \textit{et al.}, 2010. \cite{Garcia-Aljaro2010}"
,,6,Immersed,1,DMF,"Chen \textit{et al.}, 2001. \cite{Chen2001}"
,,6,Immersed,1,DMF,"Cella \textit{et al.}, 2010.  \cite{Cella2010}"
,,6,Immersed,1,DMF,"Das \textit{et al.}, 2011.  \cite{Das2011}"
,,6,-,2,DMF,"Besteman \textit {et al.}, 2003.  \cite{Besteman2003}"
,Graphene,-,-,2,DMF,"Kwong Hong Tsang \textit{et al.}, 2019.  \cite{KwongHongTsang2019}"
,,-,-,20,-,"Wiedman \textit{et al.}, 2017. \cite{Wiedman2017}"
,,0.2,Immersed,20,"DMF, IPA, DI water","Gao \textit{et al.}, 2018. \cite{Gao2018}"
,,1,100 $\mu$L droplet,6,"DMF, IPA, DI water","Nekrasov \textit{et al.}, 2021. \cite{Nekrasov2021}"
,,5,Immersed,1,"DMF, DI water","Hwang \textit{et al.}, 2016. \cite{Hwang2016}"
,,5*,Immersed,3*,DMF,"Hao \textit{et al.}, 2020. \cite{Hao2020}"
,,5,Immersed,4*,"DMF, DI water","Mishyn \textit{et al.}, 2022. \cite{Mishyn2022}"
,,6,6 $\mu$L droplet,2,"DMF, DI water","Nur Nasufiya \textit{et al.}, 2020. \cite{NurNasyifa2020}"
,,10,10 $\mu$L droplet,2,"DMF, DI water","Campos \textit{et al.}, 2019. \cite{Campos2019}"
,,10,Immersed,2,"DMF, PBS","Kuscu \textit{et al.}, 2020. \cite{Kuscu2020}"
,,10,Immersed,1,DMF,"Xu \textit{et al.}, 2017. \cite{Xu2017}"
,,10,Immersed,12,"DMF, EtOH, DI water","Khan \textit{et al.}, 2020. \cite{Khan2020}"
,,50,Immersed,4*,MeOH,"Wang \textit{et al.}, 2020. \cite{Wang2020}"
2-Methoxyethanol,Graphene,1,Immersed,1,DI water,"Ono \textit{et al.}, 2020. \cite{Ono2020}"
Methanol,CNT,1,Immersed,1,"MeOH, DI water","Zheng \textit{et al.}, 2016. \cite{Zheng2016}"
,,1,Immersed,2,MeOH,"Kim \textit{et al.}, 2009. \cite{Kim2009}"
,,100,2 $\mu$L droplet,1,DI water,"Yoo \textit{et al.}, 2022. \cite{Yoo2022}"
,Graphene,5,Immersed,2,-,"Sethi \textit{et al.}, 2020. \cite{Sethi2020}"
,,5,Immersed,1,"MeOH, PBS","Ohno \textit{et al.}, 2010. \cite{Ohno2010}"
DMSO,CNT,10,-,1,DI water,"Lopez \textit{et al.}, 2015. \cite{Lopez2015}"
,,10,Immersed,1,PBS,"Strack \textit{et al.}, 2013. \cite{Strack2013}"
